timestamp,source,symbol,side,lots,comment,final_status,reason,mt5_retcode,mt5_order,mt5_deal
2026-06-24T20:31:41.231636+00:00,risk_gate_2026-06-24.jsonl,AUDUSD,buy,0.5,,rejected,check_lot_size: check_lot_size: lots 0.5 exceeds cap 0.05 for AUDUSD,,,
2026-06-24T20:31:41.234664+00:00,risk_gate_2026-06-24.jsonl,AUDUSD,buy,0.01,,rejected,check_error: exploding_check: RuntimeError: boom,,,
2026-06-24T20:31:41.236694+00:00,risk_gate_2026-06-24.jsonl,AUDUSD,buy,0.01,,filled,,10009,1,2
2026-06-24T20:31:41.238711+00:00,risk_gate_2026-06-24.jsonl,AUDUSD,buy,0.01,,error,mock failure,500,,
2026-06-24T20:32:25.623901+00:00,risk_gate_2026-06-24.jsonl,AUDUSD,buy,0.5,,rejected,check_lot_size: check_lot_size: lots 0.5 exceeds cap 0.05 for AUDUSD,,,
2026-06-24T20:32:25.627202+00:00,risk_gate_2026-06-24.jsonl,AUDUSD,buy,0.01,,rejected,check_error: exploding_check: RuntimeError: boom,,,
2026-06-24T20:32:25.629414+00:00,risk_gate_2026-06-24.jsonl,AUDUSD,buy,0.01,,filled,,10009,1,2
2026-06-24T20:32:25.631517+00:00,risk_gate_2026-06-24.jsonl,AUDUSD,buy,0.01,,error,mock failure,500,,
2026-06-24T20:33:05.255823+00:00,risk_gate_2026-06-24.jsonl,AUDUSD,buy,0.5,,rejected,check_lot_size: lots 0.5 exceeds cap 0.05 for AUDUSD,,,
2026-06-24T20:33:05.258841+00:00,risk_gate_2026-06-24.jsonl,AUDUSD,buy,0.01,,rejected,check_error: exploding_check: RuntimeError: boom,,,
2026-06-24T20:33:05.261885+00:00,risk_gate_2026-06-24.jsonl,AUDUSD,buy,0.01,,filled,,10009,1,2
2026-06-24T20:33:05.262893+00:00,risk_gate_2026-06-24.jsonl,AUDUSD,buy,0.01,,error,mock failure,500,,
2026-06-24T20:38:37.250086+00:00,risk_gate_2026-06-24.jsonl,AUDUSD,buy,0.5,,rejected,check_lot_size: lots 0.5 exceeds cap 0.05 for AUDUSD,,,
2026-06-24T20:38:37.253110+00:00,risk_gate_2026-06-24.jsonl,AUDUSD,buy,0.01,,rejected,check_error: exploding_check: RuntimeError: boom,,,
2026-06-24T20:38:37.255126+00:00,risk_gate_2026-06-24.jsonl,AUDUSD,buy,0.01,,filled,,10009,1,2
2026-06-24T20:38:37.256134+00:00,risk_gate_2026-06-24.jsonl,AUDUSD,buy,0.01,,error,mock failure,500,,
2026-06-24T20:39:43.905355+00:00,risk_gate_2026-06-24.jsonl,AUDUSD,buy,0.5,,rejected,check_lot_size: lots 0.5 exceeds cap 0.05 for AUDUSD,,,
2026-06-24T20:39:43.908383+00:00,risk_gate_2026-06-24.jsonl,AUDUSD,buy,0.01,,rejected,check_error: exploding_check: RuntimeError: boom,,,
2026-06-24T20:39:43.910405+00:00,risk_gate_2026-06-24.jsonl,AUDUSD,buy,0.01,,filled,,10009,1,2
2026-06-24T20:39:43.912422+00:00,risk_gate_2026-06-24.jsonl,AUDUSD,buy,0.01,,error,mock failure,500,,
2026-06-24T20:40:09.994157+00:00,risk_gate_2026-06-24.jsonl,AUDUSD,buy,0.01,risk_gate_dry_run,filled,,10009,9001,9002
2026-06-24T20:40:09.995170+00:00,risk_gate_2026-06-24.jsonl,AUDUSD,buy,0.01,risk_gate_dry_run,filled,,10009,9001,9002
2026-06-24T20:40:09.996530+00:00,risk_gate_2026-06-24.jsonl,AUDUSD,buy,0.01,risk_gate_dry_run,filled,,10009,9001,9002
2026-06-24T20:40:09.997530+00:00,risk_gate_2026-06-24.jsonl,AUDUSD,buy,0.01,risk_gate_dry_run,filled,,10009,9001,9002
2026-06-24T20:40:09.998921+00:00,risk_gate_2026-06-24.jsonl,AUDUSD,buy,0.01,risk_gate_dry_run,filled,,10009,9001,9002
2026-06-24T20:40:09.999945+00:00,risk_gate_2026-06-24.jsonl,AUDUSD,buy,0.5,risk_gate_dry_run,rejected,check_lot_size: lots 0.5 exceeds cap 0.05 for AUDUSD,,,
2026-06-24T20:40:10.000961+00:00,risk_gate_2026-06-24.jsonl,AUDUSD,buy,0.5,risk_gate_dry_run,rejected,check_lot_size: lots 0.5 exceeds cap 0.05 for AUDUSD,,,
2026-06-24T20:40:10.001999+00:00,risk_gate_2026-06-24.jsonl,AUDUSD,buy,0.5,risk_gate_dry_run,rejected,check_lot_size: lots 0.5 exceeds cap 0.05 for AUDUSD,,,
2026-06-24T20:40:10.002999+00:00,risk_gate_2026-06-24.jsonl,XAUUSD,buy,0.01,risk_gate_dry_run,rejected,check_total_leverage: projected notional 232300.00 exceeds max 20000.0,,,
2026-06-24T20:40:10.005239+00:00,risk_gate_2026-06-24.jsonl,XAUUSD,buy,0.01,risk_gate_dry_run,rejected,check_total_leverage: projected notional 232300.00 exceeds max 20000.0,,,
